Customer_ID,Age,Gender,Region,Channel,Product_Category,Monthly_Spend,Clicks,Impressions,Previous_Conversions,Response
100000,56,Female,West,SEO,B,414.97,3,10,0,Yes
100001,69,Male,West,Email,D,360.83,6,12,0,No
100002,46,Female,South,SEO,A,241.27,6,10,3,No
100003,32,Male,North,Social Media,C,324.42,4,13,1,Yes
100004,60,Female,South,Email,D,247.45,5,11,1,Yes
100005,25,Other,South,Email,C,270.37,4,8,3,No
100006,38,Male,East,Social Media,A,335.94,2,6,2,No
100007,56,Male,West,Email,A,349.92,2,16,4,No
100008,36,Male,North,SEO,D,255.94,6,12,3,No
100009,40,Male,East,Social Media,B,217.13,5,20,2,No
100010,28,Female,West,Direct Mail,A,306.58,2,9,4,No
100011,28,Female,South,Social Media,A,332.6,2,13,1,No
100012,41,Male,North,Direct Mail,D,252.13,4,7,0,No
100013,53,Male,West,Direct Mail,D,361.24,3,13,4,No
100014,57,Male,South,Social Media,D,347.95,3,15,0,Yes
100015,41,Female,East,Social Media,A,251.03,6,11,2,No
100016,20,Male,North,Direct Mail,C,384.76,3,11,3,Yes
100017,39,Female,West,Direct Mail,A,387.05,4,10,3,Yes
100018,19,Female,East,Email,D,455.08,4,15,0,No
100019,41,Female,South,Social Media,B,428.38,4,11,4,Yes
100020,61,Male,South,Social Media,B,232.3,4,8,4,No
100021,47,Female,West,Email,D,369.37,5,14,2,Yes
100022,55,Male,South,Social Media,B,365.97,0,10,3,No
100023,19,Male,North,Email,A,273.86,3,5,0,No
100024,38,Female,West,Email,C,334.12,1,6,1,No
100025,50,Female,East,Social Media,A,159.18,3,11,3,Yes
100026,29,Male,West,SEO,D,157.1,10,10,3,No
100027,39,Male,West,Direct Mail,A,171.4,3,6,2,No
100028,61,Male,East,Social Media,B,329.19,3,9,3,No
100029,42,Male,South,SEO,A,332.74,2,7,2,No
100030,66,Male,East,Email,C,279.46,2,12,2,No
100031,44,Male,North,SEO,B,429.09,1,18,1,No
100032,59,Male,South,Social Media,C,374.03,4,6,4,No
100033,45,Female,West,Social Media,C,180.13,4,6,3,Yes
100034,33,Female,South,SEO,C,287.1,5,15,2,Yes
100035,32,Female,South,Social Media,A,229.52,6,9,2,Yes
100036,64,Male,North,Direct Mail,A,331.05,2,10,4,No
100037,68,Female,South,SEO,A,297.71,2,7,4,No
100038,61,Female,South,Email,A,233.78,2,5,2,No
100039,69,Female,South,SEO,B,427.09,2,11,3,No
100040,20,Female,West,SEO,A,304.3,1,7,3,No
100041,54,Female,South,SEO,B,268.8,2,11,3,No
100042,68,Female,East,SEO,C,281.01,4,9,4,No
100043,24,Male,South,Email,B,421.4,4,12,3,No
100044,38,Female,North,Email,D,368.35,3,8,3,Yes
100045,26,Female,South,Email,A,287.82,2,12,3,No
100046,56,Female,South,SEO,D,225.59,2,7,4,No
100047,35,Female,West,Direct Mail,B,237.29,2,8,0,No
100048,21,Male,East,Direct Mail,A,263.84,1,8,0,No
100049,42,Male,South,Email,D,338.04,2,9,3,No
100050,31,Female,East,Direct Mail,A,356.74,3,14,0,No
100051,67,Female,North,Direct Mail,B,245.58,2,9,3,Yes
100052,26,Female,West,Direct Mail,D,360.06,3,7,4,Yes
100053,43,Male,East,Direct Mail,B,231.85,5,14,3,Yes
100054,19,Male,West,Direct Mail,D,254.12,5,10,1,No
100055,37,Female,South,Social Media,C,191.29,1,6,2,No
100056,45,Female,North,Email,C,189.05,3,11,4,No
100057,64,Female,West,SEO,C,231.04,6,7,1,No
100058,24,Male,South,Direct Mail,C,298.07,3,12,1,No
100059,61,Female,East,Social Media,C,225.45,3,8,2,No
100060,25,Male,North,SEO,B,412.36,1,10,1,Yes
100061,64,Female,North,Social Media,C,230.06,2,13,2,No
100062,52,Male,East,Direct Mail,B,313.8,0,12,3,No
100063,31,Male,East,Direct Mail,C,399.02,2,8,4,No
100064,34,Female,North,Direct Mail,A,306.94,4,15,4,No
100065,53,Female,West,Direct Mail,C,272.71,5,7,4,No
100066,67,Male,North,SEO,A,311.03,6,9,2,No
100067,57,Female,East,SEO,B,257.87,6,15,2,Yes
100068,21,Male,West,Social Media,C,224.94,6,9,1,No
100069,19,Male,South,Email,D,345.95,3,17,4,No
100070,23,Male,North,Direct Mail,B,256.27,3,13,1,No
100071,59,Male,East,Social Media,C,370.26,5,4,3,Yes
100072,21,Female,South,Social Media,B,359.72,2,16,1,No
